,rol,corte,fecha,folio,tramite,descripcion,fecha_ingreso,CLASIFICACION_CORRECTA,CLASIFICACION_NUM
38,5352-2024,Temuco,04/09/2024,11.0,Resolución,Agréguese Extraordinariamente a la tabla del 06 de septiembre,25/07/2024,Agréguese A Tabla,4
39,15384-2024,Concepción,31/05/2024,5.0,Resolución,"Se declara admisible, 10 días hábiles. Concede ONI.",,Admisibles,3
40,2980-2024,Valdivia,21/11/2024,3.0,Sentencia,Inadmisible,05/11/2024,Inadmisible/Omite,18
41,12816-2023,Temuco,04/09/2023,12.0,Resolución,Concede ampliación de Plazo por el término de 8 días hábiles,17/08/2023,Ica Amplia Plazo,15
46,16722-2020,Concepción,08/01/2021,18.0,Resolución,Fija Costas (MA),30/09/2020,Fija Costas,14
50,499-2024,Chillan,29/04/2024,9.0,Resolución,Por evacuado informe,18/04/2024,Evacua Informe,12
51,2412-2020,Talca,04/02/2021,15.0,Resolución,Agréguese a la tabla resp.,13/07/2020,Agréguese A Tabla,4
52,,,,,,"Por resolución de la Corte de Apelaciones de stgo, se fijan los precios en 300.000 UTM.",,Fija Costas,14
53,12498-2024,Concepción,27/08/2024,9.0,Resolución,Agréguese Extraordinariamente a la tabla del 29 de agosto,02/05/2024,Agréguese A Tabla,4
54,10171-2023,Concepción,18/08/2023,9.0,Resolución,(PB)Ev. Inf.Fdo/AER(MA),27/05/2023,Evacua Informe,12
55,11653-2024,Santiago,05/08/2024,13.0,Resolución,"Concede Recurso, Interconexión",30/04/2024,Concede Apelación,9
56,,,,,,"Por aumento desproporcionado de planes de isapres, se establece una multa de de 100 a 300 UTM.",,Multa,22
58,492-2024,Copiapó,26/12/2024,12.0,Resolución,Reposición Rechaza // Dese Cuenta en Sala,28/11/2024,Dese Cuenta,11
59,11759-2024,Concepción,22/11/2024,10.0,Resolución,"No existiendo constancia en autos de haberse efectuado la comunicación automática de la sentencia definitiva, hágase con esta fecha. Rechazada sin costas",30/04/2024,Ica Solicita Diligencia,17
63,2476-2023,Valdivia,07/06/2024,30.0,Resolución,"A lo principal, Como se pide, certifíquese por el Sr. Secretario de esta Corte de Apelaciones, o por quien lo subrogue, lo que corresponda",14/12/2023,Certifiquese,8
65,16333-2024,Concepción,05/09/2024,13.0,Sentencia,Rechazada sin costas,31/05/2024,Rechazada,26
66,,,,,,La la presente acción se archiva por falta de pruebas.,,Archivado,6
69,2313-2024,San Miguel,12/06/2024,9.0,Resolución,"A lo principal, téngase por evacuado el informe solicitado a la Isapre Nueva Masvida S.A. Al primer otrosí, a sus antecedentes los documentos acompañados. Al segundo otrosí, téngase presente. Autos en relación.",12/04/2024,Evacua Informe,12
70,,,,,,Pde. Inf. Cumplimiento,,Ica Solicita Diligencia,17
72,8168-2024,Temuco,16/12/2024,3.0,Resolución,Interpuesto Recurso Prima Extr,05/12/2024,Admisibles,3
77,3669-2023,Antofagasta,13/07/2023,11.0,Sentencia,Acogida con costas GES,27/06/2023,Acoge,0
78,2765-2024,Santiago,26/03/2024,6.0,Resolución,Deniega O.N.I.,20/03/2024,Oni,24
79,6322-2024,Temuco,12/11/2024,10.0,Resolución,Reposición Rechaza//Concede ampliación de plazo por el término de 08 días hábiles,27/09/2024,Ica Amplia Plazo,15
81,205-2024,Valdivia,29/01/2024,2.0,Resolución,Dese Cuenta Admisibilidad,05/03/2024,Dese Cuenta,11
84,142161-2022,Valparaíso,23/12/2022,8.0,Resolución,"(8) Por Evacuado Informe, en r",28/10/2022,Evacua Informe,12
85,3189-2024,Valparaíso,24/06/2024,10.0,Resolución,Agréguese Extraordinariamente a la tabla del 28 de junio,10/04/2024,Agréguese A Tabla,4
90,18771-2024,Santiago,22/10/2024,11.0,Sentencia,Acogida sin costas,30/08/2024,Acoge,0
91,23130-2023,Valparaíso,05/02/2024,30.0,Resolución,Rec. Ab. Integrante. Sr. Oliver,28/10/2023,Ica Informa,16
92,11429-2024,Santiago,05/07/2024,9.0,Resolución,Agréguese Extraordinariamente a la tabla del 12 de julio,30/04/2024,Agréguese A Tabla,4
93,,,,,,Se rechazaa el apelación sin costas por carecer de interés legítimo.,,Rechazada,26
95,4874-2024,Temuco,21/08/2024,10.0,Resolución,Agréguese Extraordinariamente a la tabla del 23 de agosto,26/06/2024,Agréguese A Tabla,4
99,143670-2022,Valparaíso,12/06/2023,12.0,Sentencia,NMV7/Acogida,29/10/2022,Acoge,0
101,144238-2022,Valparaíso,15/06/2023,19.0,Resolución,(NMV)Concede Recurso (Intercon,31/10/2022,Concede Apelación,9
106,587-2023,Talca,02/11/2023,13.0,Resolución,En Relación,27/12/2023,Evacua Informe,12
108,31509-2022,Antofagasta,25/01/2023,15.0,Resolución,Concede Recurso (Interconexión,16/11/2022,Concede Apelación,9
109,1776-2023,Talca,18/03/2024,13.0,Resolución,Agréguese extraordinariamente a la tabla del 20 de marzo,23/10/2023,Agréguese A Tabla,4
110,2718-2019,Punta Arenas,06/07/2020,30.0,Resolución,Por evacuado Informe sentencia,28/11/2019,Evacua Informe,12
112,19063-2023,Valparaíso,10/06/2024,34.0,Resolución,Téngase Presente,16/06/2023,Téngase Presente,28
115,2575-2019,Punta Arenas,06/07/2020,31.0,Resolución,vale vista,09/11/2019,Ica Solicita Diligencia,17
116,323-2024,La Serena,28/03/2024,8.0,Resolución,Concede ONI,22/03/2024,Oni,24
119,901-2023,Concepción,31/10/2023,16.0,Resolución,Agréguese extraordinariamente a la tabla del 02 de noviembre,03/04/2024,Agréguese A Tabla,4
122,6060-2024,Concepción,20/08/2024,8.0,Resolución,Agréguese Extraordinariamente a la tabla del  22 de agosto,,Agréguese A Tabla,4
124,17750-2020,Rancagua,09/01/2025,21.0,Resolución,A todo: Este al mérito de autos,21/12/2020,Ica Informa,16
125,546-2024,Chillan,02/05/2024,6.0,Resolución,"Se declara admisible, 08 días. NHL ONI",30/04/2024,Admisibles,3
128,,,,,,Se impuso una multa de de 20 a 200 UTM por incumplimiento en entrega de información a afiliados de isapres,,Multa,22
130,5496-2024,Temuco,20/08/2024,8.0,Resolución,Concede ampliación de plazo por el término de 08 días hábiles,03/08/2024,Ica Amplia Plazo,15
131,168111-2022,Valparaíso,05/12/2022,4.0,Resolución,(3) Interpuesto Recurso de Pro,30/11/2022,Admisibles,3
132,,,,,,(PBEx26)certifíque/ev.inf.fdo(NT duplicidad,,Evacua Informe,12
134,144996-2022,Valparaíso,27/04/2023,18.0,Resolución,7NMV/Estese al mérito,01/11/2022,Ica Informa,16
138,3801-2024,Concepción,25/04/2024,8.0,Resolución,"Se declara admisible, 10 días hábiles.",25/03/2024,Admisibles,3
139,2871-2024,Valparaíso,31/07/2024,9.0,Resolución,Pide Informe Superintendencia dentro del plazo de 08 días hábiles.,05/04/2024,Ica Solicita Diligencia,17
140,5714-2024,Temuco,04/09/2024,8.0,Resolución,Concede ampliación de Plazo por el término de 08 días hábiles.,22/08/2024,Ica Amplia Plazo,15
141,8157-2023,Concepción,31/05/2023,9.0,Resolución,(PB) AER/FDO (PDB),03/05/2023,Evacua Informe,12
142,22808-2024,Concepción,10/12/2024,5.0,Sentencia,Incompetencia,04/12/2024,Incompetencia,19
143,41095-2022,Antofagasta,15/03/2023,15.0,Resolución,Concede Recurso GES,13/12/2022,Concede Apelación,9
146,11286-2022,Valparaíso,01/07/2022,15.0,Resolución,Cúmplase CS/Cambio PR-16,09/03/2022,Cs,10
149,11570-2024,Santiago,06/05/2024,5.0,Resolución,"Se declara admisible, 10 días. Concede ONI.",30/04/2024,Admisibles,3
151,42120-2022,Antofagasta,25/03/2024,17.0,Resolución,CÚMPLASE CS,19/12/2022,Cs,10
152,6852-2024,Temuco,25/11/2024,10.0,Resolución,Concede ampliación de plazo por el término de 08 días,04/10/2024,Ica Amplia Plazo,15
153,1175-2023,Temuco,23/08/2023,9.0,Resolución,Agréguese Extraordinariamente a la tabla del 25 de agosto,15/09/2023,Agréguese A Tabla,4
154,712-2024,Chillan,25/06/2024,11.0,Resolución,Agréguese Extraordinariamente a la tabla del 27 de junio,04/06/2024,Agréguese A Tabla,4
158,,,,,,"El apelación es rechazao con costas, debido a negativa de trámite por parte de la isapre.",,Rechazada,26
159,1457-2019,Punta Arenas,03/03/2020,13.0,Resolución,Pide Informe oni,04/10/2019,Ica Solicita Diligencia,17
168,4990-2024,Temuco,20/08/2024,10.0,Resolución,Agréguese Extraordinariamente a la tabla del 22 de agosto,28/06/2024,Agréguese A Tabla,4
169,42432-2019,Concepción,23/10/2024,22.0,Resolución,Pide informe cumplimiento del pago de las costas dentro del 5to día hábil,10/10/2019,Ica Solicita Diligencia,17
171,1554-2024,Valdivia,17/07/2024,7.0,Resolución,Concede ampliación de Plazo por el término de 06 días,24/06/2024,Ica Amplia Plazo,15
172,2307-2024,Temuco,19/04/2024,8.0,Resolución,Agréguese Extraordinariamente a la tabla del 23 de abril,02/04/2024,Agréguese A Tabla,4
173,,,,,,Iniciado la tramitación en la corte de Copiapó del la presente acción.,,Inicio Tramitación,21
177,11287-2022,Valparaíso,10/03/2022,2.0,Resolución,Interp. rec. prot/cambio de có,09/03/2022,Admisibles,3
178,,,,,,Téngase por concedida la Orden de no innovar,,Oni,24
180,4869-2024,Concepción,04/04/2024,2.0,Resolución,(PBEx/24) Acog a Tramit. (GC),31/03/2024,Admisibles,3
183,830-2024,Rancagua,29/04/2024,14.0,Resolución,Evacua Informe - Pase a Pdte.,28/03/2024,Evacua Informe,12
187,1339-2019,Punta Arenas,16/10/2020,40.0,Resolución,Informe cuml. sentencia,02/10/2019,Ica Solicita Diligencia,17
189,2303-2024,Antofagasta,18/12/2024,7.0,Resolución,Concede ampliación de Plazo por el término de 05 días hábiles,29/11/2024,Ica Amplia Plazo,15
191,2349-2019,Punta Arenas,11/06/2020,28.0,Resolución,traslado,15/10/2019,Ica Informa,16
194,,,,,,rectifica Denunciado/oficio,,Ica Solicita Diligencia,17
196,,,,,,Según lo revisado por el sistema computacional dcta la o.n.i.,,Oni,24
197,2590-2024,Rancagua,30/12/2024,12.0,Resolución,Ev. Informe. Pase a presedencia,28/11/2024,Evacua Informe,12
199,705-2024,Antofagasta,02/07/2024,10.0,Resolución,Agréguese Extraordinariamente a la tabla del 4 de julio,04/04/2024,Agréguese A Tabla,4
202,,,,,,La corte inadmisible. (la demanda) por no dar cumplimiento a lo solicitado,,Inadmisible/Omite,18
203,,,,,,Chillán Se acumula a 647-2031 (con 295-2000).,,Acumulación,2
204,,,,,,transcurrido el plazo de 23 dias dese estricto cumplimiento al articulo 125,,Art / Numeral,7
205,1672-2024,Puerto Montt,18/12/2024,3.0,Resolución,"Se declara admisible, 05 días. NHL ONI.",17/12/2024,Admisibles,3
206,3414-2020,Valparaíso,08/05/2020,9.0,Sentencia,Acogida,31/01/2020,Acoge,0
208,,,,,,T.P. el mandato de el ab. recurrido,,Téngase Presente,28
209,166476-2022,Valparaíso,19/07/2023,12.0,Resolución,(1NUEVA) Concede Recurso (Inte,30/11/2022,Concede Apelación,9
210,150944-2022,Valparaíso,28/03/2023,15.0,Resolución,5. NMV Téngase Presente,05/11/2022,Téngase Presente,28
211,,,,,,La parte retira el apelación por incumplimiento de plazos administrativos por la isapre.,,Retira,27
221,7969-2023,Concepción,13/02/2024,10.0,Resolución,Agréguese extraordinariamente a la tabla del 15 de febrero,02/05/2023,Agréguese A Tabla,4
222,1457-2019,Punta Arenas,19/10/2020,37.0,Resolución,Resuelve Objeción Costas,04/10/2019,Rechazada,26
225,5298-2024,Temuco,25/10/2024,8.0,Resolución,Agréguese Extraordinariamente a la tabla del 28 de octubre,20/07/2024,Agréguese A Tabla,4
226,2578-2024,San Miguel,11/12/2024,10.0,Sentencia,Rechazada,23/04/2024,Rechazada,26
228,6753-2024,Temuco,18/11/2024,10.0,Resolución,Concede ampliación de plazo por el término de 08 días // NO HA LUGAR LA REPOSICIÓN del rcte,30/09/2024,Ica Amplia Plazo,15
229,7437-2024,Temuco,19/12/2024,17.0,Resolución,Ev. Informe SIS.,05/11/2024,Evacua Informe,12
230,152699-2022,Valparaíso,16/11/2022,5.0,Resolución,(11) Interpuesto Recurso de Pr,07/11/2022,Admisibles,3
234,,,,,,Según lo revisado por el sistema computacional d cta la ordern de no innonvar,,Oni,24
235,,,,,,No Ha Lugar lo obrado por la Tribunal de Apelaciones de Temuco,,Nhl,23
237,,,,,,Según lo informado por Atr. en el folio 18: no ha lugor,,Nhl,23
240,332-2024,San Miguel,29/01/2024,2.0,Resolución,Dese Cuenta Cuarta Sala ONI,01/02/2024,Dese Cuenta,11
242,,,,,,acogido el recurso interpuesto contra Nueva Mas Vida S.A. sin costas.,,Acoge,0
243,,,,,,Este a la disponibilidad de esta ANT de Iquique a su ingreso y prioridad.,,Acuerdo,1
248,166567-2022,Valparaíso,07/12/2022,4.0,Resolución,(8..) Interpuesto Recurso de P,30/11/2022,Admisibles,3
252,13320-2024,Santiago,15/07/2024,5.0,Resolución,"Se declara admissible, 10 días. Concede ONI.",16/05/2024,Admisibles,3
253,14970-2024,Santiago,19/07/2024,10.0,Resolución,Agréguese extraordinariamente a la tabla del 26 de julio,31/05/2024,Agréguese A Tabla,4
254,1209-2024,Chillan,20/12/2024,3.0,Resolución,"Sen declara admisible, 08 días. NHL ONI.",20/12/2024,Admisibles,3
255,1856-2024,Valdivia,06/08/2024,3.0,Resolución,"Se declara admisible, 06 días. NHL ONI.",17/07/2024,Admisibles,3
261,,,,,,(PBEx25)se prescinde informe)(QG),,Prescinde,25
264,8570-2024,Temuco,31/12/2024,10.0,Resolución,Concede ampliación de Plazo por el término de 08 días,11/12/2024,Ica Amplia Plazo,15
266,4657-2024,Concepción,10/05/2024,10.0,Resolución,Agréguese Extraordinariamente a la tabla del 14 de mayo // En Relación/Inf. Isapre,29/03/2024,Agréguese A Tabla,4
267,2416-2023,Valdivia,26/01/2024,10.0,Resolución,Agréguese extraordinariamente a la tabla del 30 de enero. Habilita alegatos,07/12/2023,Agréguese A Tabla,4
268,22589-2024,Concepción,31/12/2024,8.0,Resolución,Concede ampliación de plazo por le término de 08 días,30/11/2024,Ica Amplia Plazo,15
272,,,,,,(PBEx25)C.Recurso/R.R(ma),,Concede Apelación,9
273,166855-2022,Valparaíso,17/02/2023,12.0,Resolución,"(11) Por Evacuado Informe, en",30/11/2022,Evacua Informe,12
274,475-2024,Concepción,07/03/2024,11.0,Sentencia,"Acoge con costas, sin regular",17/05/2024,Acoge,0
275,1202-2024,Temuco,26/06/2024,13.0,Sentencia,Acoge sin costas,25/03/2024,Acoge,0
281,,,,,,Iniciado la tramitación en la corte de Talca del acción.,,Inicio Tramitación,21
290,3416-2024,Valparaíso,08/05/2024,8.0,Resolución,Ev. Informe.En Relación,17/04/2024,Evacua Informe,12
292,6224-2024,Temuco,08/11/2024,10.0,Resolución,Agréguese Extraordinariamente a la tabla del 11 de noviembre,25/09/2024,Agréguese A Tabla,4
298,,,,,,"(PBEx26)Rechazada/MasVida(JQQ)El apelación se rechazaa con costas, por extemporaneidad",,Rechazada,26
301,,,,,,Rija el estado de acuerdo Corte de Apelaciones de.,,Acuerdo,1
305,42156-2022,Antofagasta,30/01/2023,5.0,Resolución,A Sala Previo Sorteo,19/12/2022,Ica Informa,16
308,166795-2022,Valparaíso,05/12/2022,4.0,Resolución,(5) Interpuesto Recurso de Pro,30/11/2022,Admisibles,3
313,19138-2023,Concepción,28/11/2023,11.0,Sentencia,"Téngase por cumplido lo ordenado // Incompetencia, remítase a stgo",24/10/2023,Incompetencia,19
316,9266-2024,Santiago,22/07/2024,14.0,Sentencia,Rechaza sin costas,12/04/2024,Rechazada,26
323,1515-2024,Temuco,12/07/2024,14.0,Resolución,Agréguese Extraordinariamente a la tabla del 15 de julio,27/03/2024,Agréguese A Tabla,4
325,142668-2022,Valparaíso,03/11/2022,5.0,Resolución,(4)Interpuesto Recurso de Prot,28/10/2022,Admisibles,3
328,16119-2024,Concepción,24/09/2024,12.0,Resolución,Agréguese Extraordinariamente a la tabla del 26 de septiembre,31/05/2024,Agréguese A Tabla,4
330,21319-2022,Temuco,14/09/2022,15.0,Resolución,INCORPORA FALLO CS PB 2022,14/06/2022,Cs,10
335,3222-2023,Rancagua,16/01/2024,25.0,Resolución,A sus antecedentes,16/10/2023,Ica Informa,16
339,18209-2024,Concepción,14/08/2024,11.0,Resolución,Nota de Acuerdo,18/07/2024,Acuerdo,1
340,423-2024,Chillan,08/04/2024,6.0,Resolución,"Se declara admisible, 08 días. NHL ONI.",04/04/2024,Admisibles,3
345,1810-2023,Talca,07/09/2023,2.0,Resolución,Dese cuenta admisibilidad,31/10/2023,Dese Cuenta,11
347,922-2024,Antofagasta,09/07/2024,9.0,Resolución,Agréguese Extraordinariamente a la tabla del 11 de julio,12/04/2024,Agréguese A Tabla,4
352,,,,,,(PR9/GES2025)Concede Recurso(GC),,Concede Apelación,9
354,439-2024,Chillan,18/04/2024,8.0,Resolución,Ev informe,07/04/2024,Evacua Informe,12
359,,,,,,(PB) Certifíquese/Oficie (WF),,Ica Solicita Diligencia,17
360,13107-2020,Rancagua,13/01/2021,17.0,Resolución,Cúmplase CS/ Confirma,14/10/2020,Cs,10
362,170156-2022,Valparaíso,14/07/2023,13.0,Sentencia,NMV7.Acogida,01/12/2022,Acoge,0
370,269-2024,Antofagasta,04/04/2024,9.0,Resolución,Concede ampliación de Plazo,13/03/2024,Ica Amplia Plazo,15
373,2412-2020,Talca,14/01/2021,13.0,Resolución,agreguese a la tabla resp.,13/07/2020,Agréguese A Tabla,4
377,,,,,,"Apercibimiento efectivo a la parte Rdo., comuníquese y archívese.",,Apercibe,5
379,28916-2019,Concepción,24/04/2024,25.0,Resolución,Ofíciese (PBD),03/10/2019,Ica Solicita Diligencia,17
384,2624-2024,Temuco,28/06/2024,10.0,Resolución,Agréguese Extraordinariamente a la tabla del martes 02 de julio,08/04/2024,Agréguese A Tabla,4
387,6172-2024,Concepción,30/08/2024,12.0,Resolución,(PBEx24)Concede Recurso (rbf),05/04/2024,Concede Apelación,9
393,14113-2023,Concepción,06/02/2024,10.0,Resolución,Estese al mérito de autos,07/07/2023,Ica Informa,16
394,5715-2024,Temuco,23/08/2024,3.0,Resolución,Dese Cta Adm,22/08/2024,Dese Cuenta,11
395,,,,,,"demanda acogido s/ costas, ordenando a NMV que no aplique alza.",,Acoge,0
398,4045-2024,Concepción,26/04/2024,8.0,Resolución,Prescinde informe [Todos tienen informe evacuado],26/03/2024,Prescinde,25
399,,,,,,"Por resolución de la Corte de Apelaciones de Ccp, se fijan los costos en 15 dólares.",,Fija Costas,14
400,,,,,,La Corte de Apelaciones de Santiago manifiesta que loscostos están fijados en 200.000 UF,,Fija Costas,14
402,,,,,,Por Duplicidad del recurso o presentación reiterada sin novedad. a lo solicitado por la corte de Arica téngase por declarado la inad.,,Incompetencia,19
403,3118-2018,Concepción,06/10/2020,15.0,Resolución,ESTESE A MERITO (RTZ),19/03/2018,Ica Informa,16
407,5800-2024,Temuco,10/09/2024,8.0,Resolución,Concede ampliación de Plazo por el término de 08 días hábiles,28/08/2024,Ica Amplia Plazo,15
415,1476-2024,San Miguel,02/04/2024,5.0,Resolución,"Se declara admisible, 05 días. Concede ONI.",25/03/2024,Admisibles,3
419,,,,,,(TF)T.pte/v.e.forma (GC),,Téngase Presente,28
420,,,,,,al folio 34: des cuenta,,Dese Cuenta,11
432,144003-2022,Valparaíso,22/12/2022,7.0,Resolución,"(11.) Por Evacuado Informe, en",30/10/2022,Evacua Informe,12
437,6827-2024,Valparaíso,12/12/2024,9.0,Resolución,Concede plazo por el término de 10 días hábiles,25/11/2024,Ica Amplia Plazo,15
440,,,,,,El ministro de la Corte Suprema manifiesta inhabilidad por por amistad íntima con el acusado.,,Inhabilidad,20
443,5215-2024,Temuco,30/10/2024,13.0,Resolución,Agréguese Extraordinariamente a la tabla del 08 de  noviembre,08/07/2024,Agréguese A Tabla,4
449,168389-2022,Valparaíso,22/03/2023,15.0,Resolución,NMV7/Estese al mérito de autos,30/11/2022,Ica Informa,16
454,,,,,,"El solicitudse rechazaa con costas al demandado, por pasar del plazo judicial",,Rechazada,26
459,,,,,,El rol 402-2024 acumulación 862-2006.,,Acumulación,2
462,4707-2024,Temuco,30/07/2024,9.0,Resolución,Agréguese Extraordinariamente a la tabla del 01 de agosto,05/06/2024,Agréguese A Tabla,4
465,201-2024,Copiapó,17/04/2024,7.0,Resolución,Art. 125 CPC,15/04/2024,Art / Numeral,7
469,2086-2023,Antofagasta,12/06/2023,14.0,Resolución,Concede Recurso (GES),28/04/2023,Concede Apelación,9
472,151297-2022,Valparaíso,15/11/2022,6.0,Resolución,(1) Interpuesto Recurso de Pro,05/11/2022,Admisibles,3
475,,,,,,Acumulado a al rol 623-2029,,Acumulación,2
477,,,,,,(PBEx25)Nhl/P.Cta.Inf (TA),,Ica Solicita Diligencia,17
478,,,,,,Falta de fundamentación jurídica adecuada. es inadmisble,,Incompetencia,19
480,187-2024,Valdivia,22/02/2024,9.0,Resolución,Agréguese extraordinariamente a la tabla del 27 de febrero,29/02/2024,Agréguese A Tabla,4
485,20488-2024,Santiago,22/10/2024,7.0,Resolución,Concede ampliación de plazo por el término de 05 días,05/10/2024,Ica Amplia Plazo,15
488,,,,,,(Plan GES) certif. Duplicidad (PBD,,Certifiquese,8
489,3773-2024,Santiago,19/04/2024,5.0,Resolución,"Se declara admisible, 10 días.  Concede ONI.",26/03/2024,Admisibles,3
490,6899-2024,Valparaíso,24/12/2024,11.0,Resolución,Acum:Protección-6826-2024 // En Relación,28/11/2024,Acumulación,2
497,168404-2022,Valparaíso,18/01/2023,7.0,Resolución,".(11). Por Evacuado Informe, e",30/11/2022,Evacua Informe,12
498,2321-2023,Talca,09/01/2024,11.0,Resolución,En Relación/Para definitiva.,15/12/2023,Evacua Informe,12
505,19180-2024,Concepción,14/10/2024,8.0,Resolución,No ha lugar la reposición. Al primer y segundo otrosí: NHL por improcedente,30/09/2024,Nhl,23
509,166984-2022,Valparaíso,10/02/2023,11.0,Resolución,"7.Acoge/Por Evacuado Informe,",30/11/2022,Evacua Informe,12
510,,,,,,(GES2025)PBEx26plazo (GC),,Ica Amplia Plazo,15
512,4617-2024,Concepción,09/05/2024,10.0,Resolución,Certifíquese duplicidad,29/03/2024,Certifiquese,8
516,1195-2024,Valdivia,30/07/2024,14.0,Resolución,Cúmplase CS/confirma,06/05/2024,Cs,10
518,2736-2023,Antofagasta,15/06/2023,11.0,Sentencia,Acogida GES,25/05/2023,Acoge,0
519,11224-2024,Santiago,02/05/2024,2.0,Resolución,"Se declara admisible, 05 días. Dese cuenta ONI.",29/04/2024,Admisibles,3
522,2648-2024,Valparaíso,25/09/2024,8.0,Resolución,Archívese/ asus antecedentes,03/04/2024,Archivado,6
524,6168-2024,Temuco,04/10/2024,7.0,Resolución,Dese Cuenta Adm/ONI/Turno,24/09/2024,Dese Cuenta,11
527,,,,,,La inhabilidad del abogado defensor se fundamenta en por amistad íntima con el acusado.,,Inhabilidad,20
533,,,,,,(PB2025) certificación Duplicidad (PBD,,Certifiquese,8
538,9002-2023,Concepción,20/02/2024,12.0,Resolución,Agréguese extraordinariamente a la tabla del 22 de febrero,09/05/2023,Agréguese A Tabla,4
541,5950-2022,Valparaíso,07/05/2024,22.0,Resolución,Téngase presente el pago de costas. Archívese,13/02/2022,Archivado,6
542,5498-2024,San Miguel,10/12/2024,11.0,Resolución,Concede ampliación de plazo por el término de 05 días hábiles // Dese Cuenta reposición ONI 5°,28/11/2024,Dese Cuenta,11
